Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,How often do you currently use AI tools in your work? Choose the option that most closely reflects your usage.,What is the most advanced thing you currently do with AI?,How is AI being used on your team today?,"As AI takes on more tasks, what do you believe will be your most important human contributions at work?",Which benefits have you personally experienced from using AI at work?,"In addition to the AI tools officially provided or endorsed by Baptist Health, are you using any other AI tools for work, either free versions or tools you pay for yourself?",Are you currently paying out of your own pocket for any AI tools you use for work?,"What are the biggest barriers, if any, preventing you from getting more value from AI at work?",How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"What is one thing helping, or one thing getting in the way of, your use of AI at work?",What is your current role level?,Which Marketing and Communications function are you primarily part of?
9/14/2026 8:10:15,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,At least once per week,"I mainly use AI chat tools for simple, one-off tasks like asking questions, writing assistance, research, brainstorming or analysis.",AI is rarely or not used by our team.,"Critical thinking - questioning assumptions, evaluating information and knowing when AI may be wrong, Empathy and relationship-building - understanding people, emotions and context","Helps with research, synthesis or understanding information, Serves as a strategic thought partner, Improves the quality or polish of my work","OpusClip, Anthropic Claude",Yes,None. I don’t currently face meaningful barriers,5,Confident,SAMPLE ROW: Protected time to build workflows is what is helping most.,Specialist,Account Services
9/15/2026 9:13:16,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I understand AI tools well and have experimented with them,Daily,"I use AI in more structured ways like ChatGPT Projects, saved prompts or creating Custom GPTs.",People mostly use AI on their own for individual tasks.,"Strategic thinking - seeing the bigger picture and making connections, Experience and subject-matter expertise - applying knowledge that comes from doing the work, Communication and storytelling - influencing, persuading and making ideas meaningful","Helps with research, synthesis or understanding information, Helps me learn or build new skills, Makes work or information more accessible","Meta Llama, Cursor or Codex",No,I don’t see how AI is relevant to my work,5,Very Confident,SAMPLE ROW: Getting AI to connect to our business files is still blocked.,Specialist,Creative Services
9/16/2026 10:16:17,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I am highly knowledgeable and use AI regularly.,Daily,I build AI agents that can complete multi-step tasks or take actions on their own.,We use AI for some common team tasks.,"Creativity and original point of view - bringing new ideas, perspective and imagination, Strategic thinking - seeing the bigger picture and making connections, Curiosity and adaptability - continuing to learn and adjust as technology changes","Helps with research, synthesis or understanding information, Helps me generate ideas or accelerate creative work, Serves as a strategic thought partner","Replit, n8n or Zapier",No,"I don’t see how AI is relevant to my work, I’m not sure what AI use is allowed, It’s hard to break old habits or change the way I work",3,Very Confident,SAMPLE ROW: Our team rebuilt the campaign brief process with AI in the loop and it saves a day a week.,Manager,Web & Technology
9/17/2026 11:19:18,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I am highly knowledgeable and use AI regularly.,At least once per week,I build AI agents that can complete multi-step tasks or take actions on their own.,AI is part of some of our regular team workflows.,"Judgment and decision-making - knowing what is right, useful or appropriate, Experience and subject-matter expertise - applying knowledge that comes from doing the work","Helps me generate ideas or accelerate creative work, Helps with research, synthesis or understanding information, Increases my confidence or reduces anxiety about a task","Anthropic Claude, n8n or Zapier",Yes,"I don’t see how AI is relevant to my work, My manager does not regularly use or encourage AI, Lack of time or competing priorities",5,Extremely Confident,SAMPLE ROW: Too many tools and no clear guidance on which one to use for what.,Manager,Content Marketing
9/18/2026 12:22:19,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"I build AI solutions that other people use, such as custom websites, connected workflows or multiple agents working together.",AI is integrally built into how our team works across several important workflows.,"Ethics and accountability - applying human values and taking responsibility for outcomes, Empathy and relationship-building - understanding people, emotions and context, Judgment and decision-making - knowing what is right, useful or appropriate","Improves the clarity of my communications, Improves collaboration, Serves as a strategic thought partner","OpusClip, xAI Grok",No,"My manager does not regularly use or encourage AI, I don’t see how AI is relevant to my work",5,Somewhat confident,SAMPLE ROW: Office hours helped me automate the monthly report.,Director,Paid Media & Precision Marketing
9/19/2026 13:25:20,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"I mainly use AI chat tools for simple, one-off tasks like asking questions, writing assistance, research, brainstorming or analysis.",I’m not sure.,"Critical thinking - questioning assumptions, evaluating information and knowing when AI may be wrong, Ethics and accountability - applying human values and taking responsibility for outcomes, Curiosity and adaptability - continuing to learn and adjust as technology changes","Helps me learn or build new skills, Makes work or information more accessible, Increases my confidence or reduces anxiety about a task",Replit,No,None. I don’t currently face meaningful barriers,5,Very Confident,"SAMPLE ROW: Nothing is in the way right now, honestly.",Assistant Vice President,Internal Communications
9/20/2026 14:28:21,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"I use AI in more structured ways like ChatGPT Projects, saved prompts or creating Custom GPTs.",AI is rarely or not used by our team.,"Taste and quality judgment - recognizing what is strong, distinctive and on-brand, Empathy and relationship-building - understanding people, emotions and context","Helps me generate ideas or accelerate creative work, Helps me make decisions faster, Improves the clarity of my communications","Replit, Otter.ai",Yes,I’m not sure what AI use is allowed,5,Somewhat confident,SAMPLE ROW: Protected time to build workflows is what is helping most.,Specialist,Strategy & Research
9/21/2026 15:31:22,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I understand AI tools well and have experimented with them,Daily,I build AI agents that can complete multi-step tasks or take actions on their own.,People mostly use AI on their own for individual tasks.,"Creativity and original point of view - bringing new ideas, perspective and imagination, Strategic thinking - seeing the bigger picture and making connections, Empathy and relationship-building - understanding people, emotions and context, Knowing when NOT to use AI","Improves collaboration, Helps with research, synthesis or understanding information, Improves the quality or polish of my work","Google AI Studio, My own custom tool",No,"Privacy, PHI, security or compliance concerns, Lack of time or competing priorities",5,Confident,SAMPLE ROW: Getting AI to connect to our business files is still blocked.,Specialist,Social Media & Reputation
9/22/2026 16:34:23,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I understand AI tools well and have experimented with them,Daily,I build AI agents that can complete multi-step tasks or take actions on their own.,We use AI for some common team tasks.,"Critical thinking - questioning assumptions, evaluating information and knowing when AI may be wrong, Judgment and decision-making - knowing what is right, useful or appropriate, Empathy and relationship-building - understanding people, emotions and context","Helps me make decisions faster, Serves as a strategic thought partner, Allows me to spend more time on meaningful or higher-value work",Cursor or Codex,No,"Concerns about AI accuracy or reliability, I don’t see how AI is relevant to my work, Fear of making a mistake when using AI",5,Very Confident,SAMPLE ROW: Our team rebuilt the campaign brief process with AI in the loop and it saves a day a week.,Manager,Marketing Operations
9/14/2026 8:37:24,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"I build AI solutions that other people use, such as custom websites, connected workflows or multiple agents working together.",AI is part of some of our regular team workflows.,"Empathy and relationship-building - understanding people, emotions and context, Critical thinking - questioning assumptions, evaluating information and knowing when AI may be wrong","Serves as a strategic thought partner, Improves the clarity of my communications, Improves collaboration",Perplexity,Yes,"Lack of time or competing priorities, It’s hard to break old habits or change the way I work, I’m not sure what AI use is allowed",5,Somewhat confident,SAMPLE ROW: Too many tools and no clear guidance on which one to use for what.,Videographer,Account Services
