Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,"How often do you currently use AI tools (e.g., ChatGPT, Grammarly, Microsoft Copilot) in your work? Choose the option that most closely reflects your usage.",Which AI tools do you currently use in your work? (Select all that apply),What do you think are the biggest barriers to using AI effectively in your role? (Select up to 2 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"How do you see AI tools changing the way you work in the future? If you already use AI, what specific tasks or processes do you currently use it for?"
8/27/2025 15:12:50,Positive,,I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma, Grammarly, Grok (xAI), Jasper",None; I feel there are no barriers,5,Very Confident,
9/2/2025 10:19:49,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Gamma, Gemini (Google), Grok (xAI), Notebook LM",None; I feel there are no barriers,5,Very Confident,Expands what's possible for one person to do 
9/4/2025 9:04:37,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Gamma, Gemini (Google), Grok (xAI)","Limited access to AI tools, None; I feel there are no barriers",5,Very Confident,Research. Summarizing reports. Strategic thought-partner. 
9/4/2025 9:51:06,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Descript",Concerns about accuracy or reliability,5,Somewhat confident,I use it to streamline repetitive tasks and save valuable time for more creative work.
9/4/2025 9:53:21,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Jasper","Concerns about accuracy or reliability, None; I feel there are no barriers, While I don't feel there are barriers as this time on my end. I do feel some concern about accuracy having to do with some folks not reviewing what AI provides. There still needs to be an element of human review. I have noticed emails with odd word usage, etc. It is simply something that education on AI will fix and is fixing as we all work to finish our courses. ",5,Confident,I am using AI more and more each day. It has become so helpful in both my professional and personal life.
9/4/2025 9:54:23,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,"ChatGPT (OpenAI), Jasper",Concerns about accuracy or reliability,3,Confident,
9/4/2025 9:59:50,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma, Jasper, Perplexity AI","sub-par outcomes. The team needs to be better trained at prompting and writing in general and how to integrate the HUMAN part back in. Secondly, while I am an avid user, I have mixed feelings about the resource drain and the fact it's becoming everyone-s go-to for everything. I would like society in general to be more selective about how we use things that have such high impacts on our electric infrastructure and natural resources. That's part of the ""responsible"" aspect we are not talking about. ",5,Very Confident,"If used properly, it will make us more efficient and able to focus on more meaningful work. When used improperly, it makes us lazy and disconnected. I use AI to ideate, strategize, outline, draft, and surface research insights—a partner that makes the work smarter and lighter."
9/4/2025 10:01:40,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly, Jasper",Lack of understanding or training,4,Confident,
9/4/2025 10:02:02,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,At least once per week,ChatGPT (OpenAI),None; I feel there are no barriers,3,Very Confident,
9/4/2025 10:02:28,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Gemini (Google), Grok (xAI)",Limited access to AI tools,5,Confident,
9/4/2025 10:04:33,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma",None; I feel there are no barriers,4,Confident,
9/4/2025 10:06:21,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,At least once per week,"ChatGPT (OpenAI), Lovo AI Voice",None; I feel there are no barriers,5,Confident,Currently I use it to help create YouTube Chapter markers for our Podcasts and I use one for AI voice that have been extremely successful in usage and cost
9/4/2025 10:11:33,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma, Jasper, Perplexity AI","Limited access to AI tools, Concerns about accuracy or reliability",4,Confident,"Writing communications - draft editorials, executive memos, news articles, social media posts, etc. also strategizing and ideating story angles for a quarter. Drafting quotes on half of experts based on genie expertise. Creating a custom GPT for email that are sent daily. Summarizing meetings. Turning zoom meeting transcripts to editorials, news articles, or meeting notes. Analysis of PR coverage - providing a list of coverage and have it provide an executive summary. "
9/4/2025 10:13:14,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,ChatGPT (OpenAI),Figuring out when to use/apply,3,Confident,"Currently using it to confirm/question sign usage, best practices, ADA requirements."
9/4/2025 10:20:53,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly",None; I feel there are no barriers,3,Confident,
9/4/2025 10:23:34,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Copilot (Microsoft), Gemini (Google), Grammarly, Jasper, NotebookLM.Google",None; I feel there are no barriers,5,Confident,Storytelling from 500+ lines of data is very impressive.
9/4/2025 10:23:36,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,ChatGPT (OpenAI),Limited access to AI tools,5,Very Confident,"I use it on a daily basis, i.e. refining emails, drafting content, project ideation, project management, clinical research, market research, etc. "
9/4/2025 10:32:30,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,At least once per week,"Adobe Firefly, ChatGPT (OpenAI), Jasper",None; I feel there are no barriers,5,Somewhat confident,speeds up workflow
9/4/2025 10:32:46,Positive,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I know a bit about them but haven’t used them,Daily,ChatGPT (OpenAI),Lack of understanding or training,5,Somewhat confident,
9/4/2025 10:33:22,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma, Jasper",None; I feel there are no barriers,5,Very Confident,It has helped me understand the acute care industry at a deeper level which helps me make a faster connection with how my job directly impacts the company's strategic objectives. It has helped me expand my creativity and also challenge my assumptions. 
9/4/2025 10:44:03,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),I am not ready to make that kind of change to my workflow,3,Confident,It can help me develop quicker reporting and better presentations
