Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,Which statement best describes the current momentum of AI adoption within Marketing & Communications?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,How often do you currently use AI tools in your work? Choose the option that most closely reflects your usage.,"When you use AI at work, which benefits are you experiencing most? (Select your top 3)","Besides the AI tools the company officially endorses with a paid subscription (OpenAI ChatGPT, Microsoft Copilot, Adobe Firefly, etc.), what other AI tools do you most often use to assist with your work (whether a free version or one you pay out of your own pocket for)?",Are you currently paying out of your own pocket for any AI tools you use for work?,What do you think are the biggest barriers to using AI effectively in your role? (Select 1-3 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"What’s your biggest struggle with AI right now, if at all?",What are you most excited about when it comes to AI?,What is your role?,What is your function?
3/18/2026 8:07:08,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Steady - We're making methodical, linear progress on specific projects.",I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Idea generation / creative acceleration - helps me brainstorm and produce more options, Research and synthesis - helps me find, summarize, and connect information","Gemini (Google), NotebookLM, WISPR Flow",Yes,"None, I feel there are no barriers",5,Very Confident,Not being able to connect with business files and other software (blocked by IT),"Far more creative, innovative work ",Director,Strategy & Research
3/18/2026 8:10:27,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Research and synthesis - helps me find, summarize, and connect information, Collaboration - helps me work better with colleagues (align faster, share drafts, co-create)",NotebookLM,No,Lack of time / competing priorities,5,Very Confident,Explaining to teammates that they still need to review what AI creates/mix in their own thoughts. Adding the human element is an important component when working with our clients. Some emails/messages seem robotic.,It’s honestly so exciting. It makes everything we come up with that much better and opens my eyes to so much more possibility and new ways of thinking…,Manager,Account Services
3/18/2026 8:34:00,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Research and synthesis - helps me find, summarize, and connect information, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",None. I only use officially endorsed AI tools for work.,Yes,"None, I feel there are no barriers",4,Very Confident,haven't experienced a struggle that I haven't been able to overcome.,feeling empowered and knowing that the quality of my work is sharper.,Manager,Account Services
3/18/2026 8:40:34,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gemini (Google), Grok (xAI), Perplexity AI",No,"Lack of time / competing priorities, Lack of understanding or training, Concerns about accuracy or reliability",4,Extremely Confident,I sometimes come in midstream instead of letting AI help shape things from the starting point.,"Continuing to move fast in high-pressure moments without lowering the bar. And I enjoy that, as good as it is, it still needs my judgment.",Director,Strategic Communications
3/18/2026 8:45:56,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Idea generation / creative acceleration - helps me brainstorm and produce more options, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",Claude (Anthropic),No,"Too many tools/not sure which to use, Concerns about accuracy or reliability, Concerns about privacy / PHI / compliance",4,Somewhat confident,still exploring tools and usage,using the technology to improve workflow,designer,Creative Services
3/18/2026 8:46:30,Negative,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I know a bit about them but haven’t used them,At least once per week,"Research and synthesis - helps me find, summarize, and connect information, Speed to decision - helps me move faster from questions to decisions, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",None. I only use officially endorsed AI tools for work.,No,"Lack of time / competing priorities, Lack of understanding or training, Too many tools/not sure which to use",4,Confident,No e,None,Specialist,Brand Management
3/18/2026 8:54:56,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","NotebookLM, Codex",No,"Lack of time / competing priorities, Limited access to AI tools, Concerns about accuracy or reliability",4,Extremely Confident,Mixed messaging from leadership in regards to exploring AI innovations,"Preparing our digital/online presence to account for the expected changes to the overall online user experience, meaning adjusting our website to excel with agentic and LLM traffic.",Specialist,Web & Technology
3/18/2026 8:56:09,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I am highly knowledgeable and use AI regularly.,At least once per week,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options",None. I only use officially endorsed AI tools for work.,Yes,Concerns about accuracy or reliability,4,Very Confident,none,The next capabilities they are going to have.,Specialist,Brand Management
3/18/2026 8:58:40,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",Gemini (Google),No,Lack of time / competing priorities,5,Very Confident,Keep up with advances,Efficiency,Manager,Hospital
3/18/2026 9:07:03,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Confidence / reduced anxiety - helps me get unstuck and feel more confident about what I'm producing",None. I only use officially endorsed AI tools for work.,No,"None, I feel there are no barriers",3,Confident,I need to be more patient with trying new tools. ,It's come so far in such a short period - excited for what the future holds!,Manager,Internal Communications
3/18/2026 9:17:19,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",Perplexity AI,Yes,"Limited access to AI tools, Concerns about accuracy or reliability",4,Very Confident,Inconsistent access. We have software that has missing AI components. It makes it much more difficult to do our jobs. It's like asking us to build a bridge without heavy equipment. We feel it's not a priority for leadership to give us that access we need. We have been requesting it for months.,The day we get complete access to the AI software we need to do our jobs with the accuracy and efficiency leadership is asking us for.,Specialist,Creative Services
3/18/2026 9:18:40,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",NotebookLM,No,Lack of time / competing priorities,4,Very Confident,Difficulties finalizing my custom GPT,Continuing to learn and grow my expertise,Manager,Account Services
