Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,"How often do you currently use AI tools (e.g., ChatGPT, Grammarly, Microsoft Copilot) in your work? Choose the option that most closely reflects your usage.",What do you think are the biggest barriers to using AI effectively in your role? (Select up to 2 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"How do you see AI tools changing the way you work in the future? If you already use AI, what specific tasks or processes do you currently use it for?",Column 8
1/30/2025 13:12:31,Positive,I am highly knowledgeable and use AI regularly.,Daily,Limited access to AI tools,5,Very Confident,,
1/30/2025 13:18:40,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Fear of making mistakes with AI",3,Somewhat confident,,
1/30/2025 15:40:40,Positive,I understand AI tools well and have experimented with them,At least once per week,,3,Confident,,
1/30/2025 16:19:12,Positive,I understand AI tools well and have experimented with them,Daily,Limited access to AI tools,5,Confident,,
1/30/2025 17:53:27,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Concerns about accuracy or reliability, Fear of making mistakes with AI",3,Somewhat confident,I see it helping me work more efficiently. I use it as a starting point to write items or as a way to make something sound better that I've already written.,
1/30/2025 18:12:30,Positive,I understand AI tools well and have experimented with them,Daily,None; I feel there are no barriers,5,Confident,"analytics, strategy and copy.",
1/30/2025 18:15:14,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Concerns about accuracy or reliability",4,Somewhat confident,,
1/30/2025 19:29:50,Positive,I understand AI tools well and have experimented with them,Daily,"Limited access to AI tools, Concerns about accuracy or reliability",5,Confident,"Creative Idea generating, grammar checks, copywriting, translating, brief development, campaign and yearly planning guidelines ",
1/30/2025 20:37:44,I have both positive and negative feelings about AI,I’ve heard of them but don’t know much.,At least once per month,"I was not aware that I was allowed to use AI, I don’t see AI as relevant to my work",3,Not confident at all,,
1/30/2025 22:23:24,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Concerns about accuracy or reliability, Fear of making mistakes with AI, IP concerns ",4,Confident,"repetitive tasks, editing, outlines, proofreading, headline ideas, crunching data ",
1/30/2025 23:40:24,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Limited access to AI tools, Concerns about accuracy or reliability",3,Somewhat confident,,
1/31/2025 7:57:52,I have both positive and negative feelings about AI,I am highly knowledgeable and use AI regularly.,Daily,"not sure to what extent we can use, site, publish. do not legalities or BH rules/regulations",5,Confident,allowing my team to soend less time on tasks that AI could handle and providing them with the time to be more strategic and deliver more successful contributions to clients’. ,
1/31/2025 9:02:01,I have both positive and negative feelings about AI,I’m unfamiliar with AI and its applications in this space,At least once per month,"Lack of understanding or training, Limited access to AI tools, Concerns about accuracy or reliability",4,Somewhat confident,Helping to automate reporting for online reputation management,
1/31/2025 9:06:58,Positive,I understand AI tools well and have experimented with them,Daily,None; I feel there are no barriers,5,Very Confident,"AI has significantly boosted my efficiency! I use it to help with drafting detailed emails, brainstorming ideas, conducting initial research (which I then follow up with my own), checking spelling and grammar, and cleaning up meeting notes.

Without AI, these tasks—though simple—would take much longer, and I’d fall behind on responding to emails and sending meeting notes to attendees. AI helps me stay organized and keep up with my projects!",
1/31/2025 9:15:20,Positive,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Limited access to AI tools",5,Somewhat confident,Increased efficiency ,
1/31/2025 9:29:14,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Concerns about accuracy or reliability",3,Somewhat confident,"I would love to learn more to integrate it better into my space and needs. For now, I use it just to help refine copy",
1/31/2025 9:34:38,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Concerns about accuracy or reliability",3,Confident,"AI, if used correctly, can greatly increase efficiency and provide out-of-the-box solutions. I often use AI to proofread and refine emails, get starting points for collateral copy and compare documents to identify changes/errors. It saves me a lot of time in a pinch, and allows me to focus on other tasks. ",
1/31/2025 10:11:23,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Rarely (Less than once per month),"Lack of understanding or training, Limited access to AI tools, Concerns about accuracy or reliability, Fear of making mistakes with AI",5,Somewhat confident,Not really sure. Perhaps it can help with processed tasks.,
1/31/2025 10:15:33,Positive,I understand AI tools well and have experimented with them,At least once per week,Limited access to AI tools,4,Somewhat confident,"I use ChatGPT to get ideas for titles of our podcasts that would be designed to grab a viewer or listeners attention.
",
1/31/2025 10:27:00,Positive,I understand AI tools well and have experimented with them,Daily,None; I feel there are no barriers,4,Very Confident,"- Copywriting. Whenever I need copy for paid social, email, collateral, etc. I turn to AI to either make tweaks to the existing copy or to come up with new copy
- Writing emails. If I want to make an email sound more professional or am unsure about grammar/spelling 
- Decks. When working on decks I will copy and paste my slides and share with AI to for suggestions on how to enhance the layout or language
- Brainstorming new ideas for our service line or events
",
1/31/2025 11:07:43,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,At least once per month,"Lack of understanding or training, Limited access to AI tools",4,Not confident at all,,
